long_method,score_field,valid_groups,cue_clipped_mean,cue_raw_mean,score_no_evidence_mean,score_oracle_mean,score_long_mean,oncu_clipped_mean,oncu_raw_mean
direct,answer_f1,26,0.7681011757505598,0.7697856226904811,0.2096764346764346,0.8124514374514374,0.6532239128392975,0.7681011757505598,0.7697856226904811
retrieve_then_read,answer_f1,26,0.4840686405375552,0.4940808505497652,0.2096764346764346,0.8124514374514374,0.5081807081807083,0.4840686405375552,0.4940808505497652
direct,answer_f1_relaxed,25,0.7327216702484582,0.7144734950659765,0.2168412698412698,0.8109494949494949,0.6449719169719169,0.7327216702484582,0.7144734950659765
retrieve_then_read,answer_f1_relaxed,25,0.4917345850924202,0.4912901406479758,0.2168412698412698,0.8109494949494949,0.5203559403559403,0.4917345850924202,0.4912901406479758
direct,answer_f1_strict,26,0.7681011757505598,0.7697856226904811,0.2096764346764346,0.8124514374514374,0.6532239128392975,0.7681011757505598,0.7697856226904811
retrieve_then_read,answer_f1_strict,26,0.4840686405375552,0.4940808505497652,0.2096764346764346,0.8124514374514374,0.5081807081807083,0.4840686405375552,0.4940808505497652
direct,exact_match,24,0.7083333333333334,0.7083333333333334,0.1341269841269841,0.7496031746031746,0.5626984126984127,0.7083333333333334,0.7083333333333334
retrieve_then_read,exact_match,24,0.4652777777777777,0.4236111111111111,0.1341269841269841,0.7496031746031746,0.433829365079365,0.4652777777777777,0.4236111111111111
direct,exact_match_relaxed,22,0.7045454545454546,0.7045454545454546,0.1311688311688311,0.7647186147186147,0.5683982683982683,0.7045454545454546,0.7045454545454546
retrieve_then_read,exact_match_relaxed,22,0.5075757575757576,0.4621212121212121,0.1311688311688311,0.7647186147186147,0.4581168831168831,0.5075757575757576,0.4621212121212121
direct,exact_match_strict,24,0.7083333333333334,0.7083333333333334,0.1341269841269841,0.7496031746031746,0.5626984126984127,0.7083333333333334,0.7083333333333334
retrieve_then_read,exact_match_strict,24,0.4652777777777777,0.4236111111111111,0.1341269841269841,0.7496031746031746,0.433829365079365,0.4652777777777777,0.4236111111111111
