long_method,score_field,valid_groups,cue_clipped_mean,cue_raw_mean,score_no_evidence_mean,score_oracle_mean,score_long_mean,oncu_clipped_mean,oncu_raw_mean
direct,answer_f1,29,0.906707580754016,0.9573815299980372,0.208346104725415,0.8114216315762969,0.7771882762831039,0.906707580754016,0.9573815299980372
retrieve_then_read,answer_f1,29,0.6372013614358335,0.664989329154102,0.208346104725415,0.8114216315762969,0.5972785531837256,0.6372013614358335,0.664989329154102
direct,answer_f1_relaxed,29,0.9055748924091004,0.957219858033897,0.2118399927020616,0.7931083675733778,0.7626973074817902,0.9055748924091004,0.957219858033897
retrieve_then_read,answer_f1_relaxed,29,0.6387119907436909,0.6665154670543161,0.2118399927020616,0.7931083675733778,0.5930685550082102,0.6387119907436909,0.6665154670543161
direct,answer_f1_strict,29,0.906707580754016,0.9573815299980372,0.208346104725415,0.8114216315762969,0.7771882762831039,0.906707580754016,0.9573815299980372
retrieve_then_read,answer_f1_strict,29,0.6372013614358335,0.664989329154102,0.208346104725415,0.8114216315762969,0.5972785531837256,0.6372013614358335,0.664989329154102
direct,exact_match,27,0.8302469135802469,0.8888888888888888,0.1497501469723692,0.6849647266313933,0.6309523809523809,0.8302469135802469,0.8888888888888888
retrieve_then_read,exact_match,27,0.6164902998236331,0.6164902998236331,0.1497501469723692,0.6849647266313933,0.4876690182245738,0.6164902998236331,0.6164902998236331
direct,exact_match_relaxed,27,0.8234567901234568,0.8820987654320988,0.1497501469723692,0.6660346854791299,0.6120223398001176,0.8234567901234568,0.8820987654320988
retrieve_then_read,exact_match_relaxed,27,0.6238977072310405,0.6238977072310405,0.1497501469723692,0.6660346854791299,0.48396531452087,0.6238977072310405,0.6238977072310405
direct,exact_match_strict,27,0.8302469135802469,0.8888888888888888,0.1497501469723692,0.6849647266313933,0.6309523809523809,0.8302469135802469,0.8888888888888888
retrieve_then_read,exact_match_strict,27,0.6164902998236331,0.6164902998236331,0.1497501469723692,0.6849647266313933,0.4876690182245738,0.6164902998236331,0.6164902998236331
