condition,task_name,context_length,n,exact_match,answer_f1,parse_failure_rate
full_context,aggregation_sum,4000,60,0.16666666666666666,0.16666666666666666,0.4166666666666667
full_context,aggregation_sum,8000,60,0.18333333333333332,0.18333333333333332,0.5166666666666667
full_context,aggregation_sum,16000,60,0.08333333333333333,0.08333333333333333,0.6333333333333333
full_context,aggregation_sum,32000,60,0.1,0.1,0.5666666666666667
full_context,multi_hop_trace,4000,60,0.43333333333333335,0.43333333333333335,0.3333333333333333
full_context,multi_hop_trace,8000,60,0.5333333333333333,0.5333333333333333,0.3333333333333333
full_context,multi_hop_trace,16000,60,0.5833333333333334,0.5833333333333334,0.3333333333333333
full_context,multi_hop_trace,32000,60,0.4166666666666667,0.4166666666666667,0.3333333333333333
full_context,retrieval_key_value,4000,60,0.6666666666666666,0.6666666666666666,0.3333333333333333
full_context,retrieval_key_value,8000,60,0.6666666666666666,0.6666666666666666,0.3333333333333333
full_context,retrieval_key_value,16000,60,0.6666666666666666,0.6666666666666666,0.3333333333333333
full_context,retrieval_key_value,32000,60,0.6666666666666666,0.6666666666666666,0.3333333333333333
retrieved_context,aggregation_sum,4000,60,0.36666666666666664,0.36666666666666664,0.3333333333333333
retrieved_context,aggregation_sum,8000,60,0.48333333333333334,0.48333333333333334,0.3333333333333333
retrieved_context,aggregation_sum,16000,60,0.31666666666666665,0.31666666666666665,0.3333333333333333
retrieved_context,aggregation_sum,32000,60,0.25,0.25,0.3333333333333333
retrieved_context,multi_hop_trace,4000,60,0.5666666666666667,0.5666666666666667,0.3333333333333333
retrieved_context,multi_hop_trace,8000,60,0.5166666666666667,0.5166666666666667,0.3333333333333333
retrieved_context,multi_hop_trace,16000,60,0.5833333333333334,0.5833333333333334,0.3333333333333333
retrieved_context,multi_hop_trace,32000,60,0.5833333333333334,0.5833333333333334,0.3333333333333333
retrieved_context,retrieval_key_value,4000,60,0.6666666666666666,0.6666666666666666,0.3333333333333333
retrieved_context,retrieval_key_value,8000,60,0.6666666666666666,0.6666666666666666,0.3333333333333333
retrieved_context,retrieval_key_value,16000,60,0.6666666666666666,0.6666666666666666,0.3333333333333333
retrieved_context,retrieval_key_value,32000,60,0.6666666666666666,0.6666666666666666,0.3333333333333333
