source,model_name,method,reasoning_type,context_length,evidence_position,evidence_density,distractor_similarity,n,exact_match_strict,answer_f1_strict,exact_match_relaxed,answer_f1_relaxed,exact_match,answer_f1,evidence_precision,evidence_recall,evidence_f1,citation_grounding
2wikimultihopqa,llama3.1:8b,direct,comparison,16000,end,low,unknown,13,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,1.0,0.5,0.6666666666666666,1.0
2wikimultihopqa,llama3.1:8b,direct,comparison,16000,end,medium,unknown,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.4,1.0
2wikimultihopqa,llama3.1:8b,direct,comparison,16000,front,low,unknown,6,0.6666666666666666,0.8,0.6666666666666666,0.8,0.6666666666666666,0.8,0.8333333333333334,0.5,0.611111111111111,0.8333333333333334
2wikimultihopqa,llama3.1:8b,direct,comparison,16000,front,medium,unknown,8,0.25,0.25,0.25,0.25,0.25,0.25,1.0,0.25,0.4,1.0
2wikimultihopqa,llama3.1:8b,direct,comparison,16000,middle,low,unknown,8,0.375,0.375,0.375,0.375,0.375,0.375,0.875,0.4375,0.5833333333333333,0.875
2wikimultihopqa,llama3.1:8b,direct,comparison,16000,middle,medium,unknown,8,0.625,0.625,0.625,0.625,0.625,0.625,1.0,0.28125,0.43333333333333335,1.0
2wikimultihopqa,llama3.1:8b,direct,comparison,16000,scattered,low,unknown,8,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.4375,0.5416666666666666,0.75
2wikimultihopqa,llama3.1:8b,direct,comparison,16000,scattered,medium,unknown,14,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.21428571428571427,0.34285714285714286,0.8571428571428571
2wikimultihopqa,llama3.1:8b,direct,comparison,4000,end,low,unknown,12,0.5,0.5,0.5,0.5,0.5,0.5,0.9166666666666666,0.4583333333333333,0.611111111111111,0.9166666666666666
2wikimultihopqa,llama3.1:8b,direct,comparison,4000,end,medium,unknown,8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.1875,0.30000000000000004,0.75
2wikimultihopqa,llama3.1:8b,direct,comparison,4000,front,low,unknown,9,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.5,0.3333333333333333,0.3888888888888889,0.5555555555555556
2wikimultihopqa,llama3.1:8b,direct,comparison,4000,front,medium,unknown,11,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.7272727272727273,0.25,0.36363636363636365,0.8181818181818182
2wikimultihopqa,llama3.1:8b,direct,comparison,4000,middle,low,unknown,8,0.625,0.65625,0.625,0.65625,0.625,0.65625,1.0,0.5625,0.7083333333333333,1.0
2wikimultihopqa,llama3.1:8b,direct,comparison,4000,middle,medium,unknown,9,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,0.3055555555555556,0.45925925925925926,1.0
2wikimultihopqa,llama3.1:8b,direct,comparison,4000,scattered,high,unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,1.0
2wikimultihopqa,llama3.1:8b,direct,comparison,4000,scattered,low,unknown,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.8333333333333334
2wikimultihopqa,llama3.1:8b,direct,comparison,4000,scattered,medium,unknown,12,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.875,0.25,0.38333333333333336,0.9166666666666666
2wikimultihopqa,llama3.1:8b,direct,comparison,8000,end,low,unknown,8,0.625,0.625,0.625,0.625,0.625,0.625,0.5,0.25,0.3333333333333333,0.5
2wikimultihopqa,llama3.1:8b,direct,comparison,8000,end,medium,unknown,12,0.75,0.7777777777777778,0.75,0.7777777777777778,0.75,0.7777777777777778,0.9166666666666666,0.22916666666666666,0.3666666666666667,0.9166666666666666
2wikimultihopqa,llama3.1:8b,direct,comparison,8000,front,low,unknown,10,0.5,0.6166666666666667,0.5,0.6166666666666667,0.5,0.6166666666666667,0.5,0.25,0.3333333333333333,0.5
2wikimultihopqa,llama3.1:8b,direct,comparison,8000,front,medium,unknown,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8333333333333334,0.25,0.37777777777777777,0.8888888888888888
2wikimultihopqa,llama3.1:8b,direct,comparison,8000,middle,low,unknown,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.8333333333333334
2wikimultihopqa,llama3.1:8b,direct,comparison,8000,middle,medium,unknown,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.2777777777777778,0.42962962962962964,1.0
2wikimultihopqa,llama3.1:8b,direct,comparison,8000,scattered,low,unknown,9,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.2962962962962963,0.4444444444444444
2wikimultihopqa,llama3.1:8b,direct,comparison,8000,scattered,medium,unknown,13,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.8461538461538461,0.21153846153846154,0.3384615384615385,0.8461538461538461
2wikimultihopqa,llama3.1:8b,direct,multi_hop,16000,end,low,unknown,24,0.2916666666666667,0.4334325396825397,0.2916666666666667,0.43040223665223665,0.2916666666666667,0.4334325396825397,0.875,0.4375,0.5833333333333333,0.875
2wikimultihopqa,llama3.1:8b,direct,multi_hop,16000,front,low,unknown,27,0.3333333333333333,0.40411522633744856,0.3333333333333333,0.4288065843621399,0.3333333333333333,0.40411522633744856,0.48148148148148145,0.24074074074074073,0.32098765432098764,0.48148148148148145
2wikimultihopqa,llama3.1:8b,direct,multi_hop,16000,middle,low,unknown,26,0.34615384615384615,0.4685897435897436,0.34615384615384615,0.4678904428904429,0.34615384615384615,0.4685897435897436,0.8076923076923077,0.40384615384615385,0.5384615384615384,0.8076923076923077
2wikimultihopqa,llama3.1:8b,direct,multi_hop,16000,scattered,low,unknown,19,0.2631578947368421,0.4456140350877193,0.2631578947368421,0.4473684210526316,0.2631578947368421,0.4456140350877193,0.6052631578947368,0.34210526315789475,0.4298245614035088,0.631578947368421
2wikimultihopqa,llama3.1:8b,direct,multi_hop,4000,end,low,unknown,22,0.22727272727272727,0.4015151515151515,0.22727272727272727,0.4006887052341598,0.22727272727272727,0.4015151515151515,0.8181818181818182,0.4318181818181818,0.5606060606060606,0.8181818181818182
2wikimultihopqa,llama3.1:8b,direct,multi_hop,4000,front,low,unknown,22,0.3181818181818182,0.4666666666666667,0.3181818181818182,0.4666666666666667,0.3181818181818182,0.4666666666666667,0.7272727272727273,0.36363636363636365,0.4848484848484848,0.7272727272727273
2wikimultihopqa,llama3.1:8b,direct,multi_hop,4000,middle,low,unknown,24,0.20833333333333334,0.3613095238095238,0.20833333333333334,0.35982142857142857,0.20833333333333334,0.3613095238095238,0.75,0.375,0.5,0.75
2wikimultihopqa,llama3.1:8b,direct,multi_hop,4000,scattered,low,unknown,23,0.4782608695652174,0.5553140096618358,0.4782608695652174,0.5618357487922705,0.4782608695652174,0.5553140096618358,0.6521739130434783,0.32608695652173914,0.43478260869565216,0.6521739130434783
2wikimultihopqa,llama3.1:8b,direct,multi_hop,8000,end,low,unknown,21,0.23809523809523808,0.44761904761904764,0.23809523809523808,0.44761904761904764,0.23809523809523808,0.44761904761904764,0.8571428571428571,0.47619047619047616,0.6031746031746031,0.8571428571428571
2wikimultihopqa,llama3.1:8b,direct,multi_hop,8000,front,low,unknown,23,0.34782608695652173,0.40241545893719805,0.34782608695652173,0.40241545893719805,0.34782608695652173,0.40241545893719805,0.6521739130434783,0.34782608695652173,0.4492753623188406,0.6521739130434783
2wikimultihopqa,llama3.1:8b,direct,multi_hop,8000,middle,low,unknown,27,0.2962962962962963,0.45555555555555555,0.2962962962962963,0.4567901234567901,0.2962962962962963,0.45555555555555555,0.8148148148148148,0.4074074074074074,0.5432098765432098,0.8148148148148148
2wikimultihopqa,llama3.1:8b,direct,multi_hop,8000,scattered,low,unknown,20,0.05,0.1792074592074592,0.1,0.20769230769230768,0.05,0.1792074592074592,0.7,0.35,0.4666666666666666,0.7
2wikimultihopqa,llama3.1:8b,no_evidence,comparison,16000,end,low,unknown,13,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.0,0.0,0.0,0.0
2wikimultihopqa,llama3.1:8b,no_evidence,comparison,16000,end,medium,unknown,5,0.6,0.6,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.0
2wikimultihopqa,llama3.1:8b,no_evidence,comparison,16000,front,low,unknown,6,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
2wikimultihopqa,llama3.1:8b,no_evidence,comparison,16000,front,medium,unknown,8,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
2wikimultihopqa,llama3.1:8b,no_evidence,comparison,16000,middle,low,unknown,8,0.25,0.2916666666666667,0.25,0.2916666666666667,0.25,0.2916666666666667,0.0,0.0,0.0,0.0
2wikimultihopqa,llama3.1:8b,no_evidence,comparison,16000,middle,medium,unknown,8,0.375,0.44642857142857145,0.375,0.44642857142857145,0.375,0.44642857142857145,0.0,0.0,0.0,0.0
2wikimultihopqa,llama3.1:8b,no_evidence,comparison,16000,scattered,low,unknown,8,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
2wikimultihopqa,llama3.1:8b,no_evidence,comparison,16000,scattered,medium,unknown,14,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
2wikimultihopqa,llama3.1:8b,no_evidence,comparison,4000,end,low,unknown,12,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0,0.0,0.0,0.0
2wikimultihopqa,llama3.1:8b,no_evidence,comparison,4000,end,medium,unknown,8,0.625,0.625,0.625,0.625,0.625,0.625,0.0,0.0,0.0,0.0
2wikimultihopqa,llama3.1:8b,no_evidence,comparison,4000,front,low,unknown,9,0.1111111111111111,0.15151515151515152,0.1111111111111111,0.15151515151515152,0.1111111111111111,0.15151515151515152,0.0,0.0,0.0,0.0
2wikimultihopqa,llama3.1:8b,no_evidence,comparison,4000,front,medium,unknown,11,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0
2wikimultihopqa,llama3.1:8b,no_evidence,comparison,4000,middle,low,unknown,8,0.5,0.53125,0.5,0.53125,0.5,0.53125,0.0,0.0,0.0,0.0
2wikimultihopqa,llama3.1:8b,no_evidence,comparison,4000,middle,medium,unknown,9,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0
2wikimultihopqa,llama3.1:8b,no_evidence,comparison,4000,scattered,high,unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2wikimultihopqa,llama3.1:8b,no_evidence,comparison,4000,scattered,low,unknown,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
2wikimultihopqa,llama3.1:8b,no_evidence,comparison,4000,scattered,medium,unknown,12,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
2wikimultihopqa,llama3.1:8b,no_evidence,comparison,8000,end,low,unknown,8,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
2wikimultihopqa,llama3.1:8b,no_evidence,comparison,8000,end,medium,unknown,12,0.75,0.7777777777777778,0.75,0.7777777777777778,0.75,0.7777777777777778,0.0,0.0,0.0,0.0
2wikimultihopqa,llama3.1:8b,no_evidence,comparison,8000,front,low,unknown,10,0.7,0.7,0.7,0.7,0.7,0.7,0.0,0.0,0.0,0.0
